Sample Name,Feb07_2016,Feb21_2016,Mar12_2016,Apr01_2016,May03_2016,Jun12_2016,Jun26_2016,Jul10_2016,Jul24_2016,Aug07_2016,Aug27_2016,Sep18_2016,Oct08_2016,Oct20_2016,Nov06_2016,Nov19_2016,Dec06_2016,Jan06_2017,Jan08_2017,Jan21_2017,Feb04_2017,Feb19_2017,Mar07_2017,Mar18_2017,Apr08_2017,Apr22_2017,May14_2017,May25_2017,Jun17_2017,Jul07_2017,Jul17_2017,Aug01_2017,Sep10_2017,Oct07_2017,Oct28_2017,Nov18_2017,Dec04_2017,
A1,9.86,2.17,1.01,0.64,2.12,0.76,1.34,,,,,,,,1.694645558,1.60508536,0.736296209,0.963110524,0.96350593,0.98119378,0.790762229,0.780860912,0.845511965,0.884388426,0.949996241,0.939669481,0.933564396,0.783316565,1.105538265,,,,,,,,,
A2,10.46,2.38,1.55,1.21,3.03,1.40,1.94,2.982457274,,,,,,,1.959335035,1.938781565,1.200009589,1.616640649,1.37579541,1.493663505,1.226624708,1.270478685,1.279276133,1.201479379,1.209115082,1.249569021,1.341737371,1.400254267,1.603819484,1.743365877,1.736453426,,,,,,,
A3,14.70,2.54,1.03,0.62,1.93,0.63,1.00,2.040717818,2.025013307,1.84501918,2.144974025,,,,1.563613889,1.167209591,0.308004688,1.021272825,0.937624191,1.023354768,0.778854931,0.7959301,0.808230541,0.782446931,0.920041685,0.84642539,0.803395658,0.70436231,0.772947776,0.873811421,0.998296586,1.10447433,,,,,,
A4,6.87,1.37,0.24,-0.14,0.84,-0.17,0.11,1.017689117,1.029800041,1.070324018,,,,,0.63992683,0.606995801,0,0.444571022,0.459702228,0.586492622,0.604201628,0.360382328,0.456094435,0.355237989,0.406073272,0.36426235,0.436005729,0.364229687,0.399281285,0.925739356,1.80621827,1.735183723,,,,,,
A5,5.69,1.32,0.13,0.14,0.83,-0.17,0.03,,,0.849389946,1.135927342,,,,,,,,,,,0.616184557,,0.603965254,0.690684062,0.567298369,0.652350138,0.621389975,,,,,,,,,,
A6,11.36,1.72,0.45,0.20,0.71,-0.07,0.06,1.208895137,0.929442005,0.852436934,1.035094837,0.893308162,712.930932,3.97,4.00325347,2.457449652,0.471420049,0.516590724,0.462601833,0.532486574,0.431417692,0.372726097,0.422277596,0.464457231,0.381745681,0.363463463,,0.441248755,0.763584274,0.601117349,,0.921787425,1.526777382,2.444016418,,,,
A7,14.49,2.67,1.55,0.51,1.75,0.67,0.93,1.845826771,1.7866734,1.520254088,1.908768826,1.768673824,222.4344302,1.83,1.957058352,2.199866988,1.463484439,1.058679005,1.277856166,1.483006067,0.72293849,1.031201884,0.855662726,1.017247244,1.700275775,1.340589183,1.512997666,1.465759579,,1.872829089,2.920541287,4.046067148,3.776736775,4.861699773,6.284726007,,7.610329721,
A8,23.00,4.10,2.23,1.54,2.35,1.35,1.39,2.238598661,2.282392342,1.999070214,2.178648917,2.029776712,252.978525,2.21,2.415290739,2.550126999,1.748676914,1.665793139,1.58365579,1.384202867,1.274812079,1.228475358,1.445876228,1.226594545,1.384678874,1.142208997,1.145076539,1.074138705,,1.243709695,1.094199617,1.290997253,1.091370285,1.405608124,1.408952644,1.239766523,1.274160756,
A9,14.13,1.91,0.48,0.17,1.56,0.12,0.68,1.593091632,1.555652064,1.656236551,1.958144367,1.659681051,222.0600676,1.68,1.868891074,2.131242121,0.849599001,0.79693597,0.794351766,0.891876496,0.723294336,0.679852449,0.788055972,0.751130698,0.767926987,0.754307897,0.779052405,0.731247316,0.834024986,1.147722973,0.883967443,1.063813194,1.758964439,2.96319866,6.330507937,6.403937417,5.516352214,
A10,14.10,2.80,1.35,1.07,2.06,1.03,1.01,1.94565451,1.971324936,1.790316428,1.757859829,1.605794096,35.15474267,1.50,1.414776159,1.793257114,2.023554169,1.84820722,1.668461805,1.664552039,1.510554515,1.572737614,1.557074213,1.54306264,1.568606653,1.514229225,1.548333323,1.498350255,1.466463969,1.55833897,1.519381479,1.647806423,6.221288086,8.470538733,8.883833817,7.013352709,7.231293327,
B1,1.51,3.27,2.06,0.99,1.11,,,,,,,,,,,,,,2.04712562,4.065480983,2.242778821,1.975234538,1.90252042,1.731632104,1.556321902,1.517042518,1.858126228,1.801185569,,,,,,,,,4.340670024,
B2,-0.49,1.58,0.41,0.51,1.38,0.24,0.56,1.843332295,,,,,,,0.911939422,0.704855523,0.00,0.56254144,0.500469369,0.757245606,0.45039677,0.497501172,0.607785976,0.459090449,0.587565368,0.507409037,0.648898106,0.633373807,0.755243451,0.970133511,,,,,,,,
B3,0.07,1.74,0.35,0.10,0.94,0.03,0.19,1.266037842,1.381023128,,,,,,1.046719793,,0.00,0.676477185,0.619420068,0.75853257,0.521813826,0.451248434,0.54810177,0.461679835,0.497236065,0.357467082,0.505675474,0.452325282,0.546698813,0.602114313,0.691663665,,,,,,,
B4,0.83,1.72,0.44,0.14,0.88,-0.15,0.02,1.161111063,1.1517777,1.107092487,,,,,0.71265752,0.536295123,0.00,0.42578398,0.407757448,0.504537997,0.334605012,0.306192235,0.311928272,0.29009197,0.405263061,0.263913972,0.417981573,0.343167828,0.379724143,0.486789811,0.502749268,,,,,,,
B5,0.47,1.19,-0.04,-0.42,0.42,-0.32,-0.23,0.67477947,0.689349807,0.620036922,1.055295075,0.964088442,1.177166777,,0.607433506,0.383146878,0.00,0.19134317,0.207350977,0.327079569,0.156880033,0.167459088,0.259105065,0.142148427,0.419617053,0.20854662,0.320635416,0.27227738,0.241331547,0.388153485,0.282628,0.381283474,0.359545431,,,,,
B6,0.57,1.17,-0.15,-0.50,0.41,-0.32,-0.23,0.776783899,0.663979703,0.487160336,0.792867119,0.731863609,0.723348453,0.80,0.886977377,0.369855608,0.00,0.232271695,0.226865327,0.386100419,0.212955644,0.164662967,0.257828056,0.164066657,0.297352485,0.211701918,0.354400512,0.237119959,0.405362943,0.416281536,0.485739164,0.465833934,0.623797506,1.352459945,,,,
B7,3.99,1.79,0.46,-0.03,0.96,0.18,0.26,1.167388791,1.093657319,0.988771033,1.156808198,1.355180324,,,,,,0.406476131,0.47779104,0.62627462,0.32713882,0.356193383,0.374723488,0.346397708,0.487155947,0.782621432,1.058615123,0.787910851,0.965654292,0.895299249,0.976026594,,0.97033535,,,,,
B8,4.49,1.85,0.26,0.16,1.14,0.01,0.14,1.08244927,1.10136857,0.881657376,1.202763182,1.1949834,1.345153157,,,,0.533381318,0.556890443,0.544187104,0.695410846,0.494858061,0.49945338,0.457979586,0.471783315,0.593466454,0.559874218,0.671889013,0.824172338,1.361551071,1.405015701,1.969250276,1.992483173,3.377965935,4.499634548,,2.827821909,,
B9,8.08,2.95,1.24,1.37,2.03,1.27,1.06,1.820240307,1.441094686,1.126765072,1.589423557,1.508525402,5.875734582,13.27,17.06854318,15.73308592,13.03627487,2.54883716,2.515835838,2.168430133,1.838649232,2.057556559,2.132194892,1.841522731,1.732950586,1.56301186,1.638735282,1.437722822,1.217285815,1.325038778,1.183083343,1.195391085,1.233114784,1.352118967,2.382630383,5.158582752,6.418340937,
B10,11.17,3.23,-0.70,1.62,2.23,1.03,1.24,1.925721132,1.86883088,1.636003304,1.98237472,1.806651176,1.580621452,1.61,1.61628922,1.665742076,0.895659565,1.677996389,1.669146438,1.841285211,1.703390985,1.683117621,1.724233259,1.78005245,1.783439253,1.672799702,1.889959059,1.664500436,1.832823115,1.775212138,1.698694396,1.722916379,1.651784261,1.802775018,1.759472866,1.820719306,1.839031624,